(SOD_env) user-511@z640:~/small_object_detect$ python train4.py 
🔥 사용 중인 디바이스: cuda | GPU 개수: 2개
총 161381장의 실제 이미지를 불러왔습니다.
/home/user-511/miniconda3/envs/SOD_env/lib/python3.8/site-packages/torch/nn/utils/weight_norm.py:134: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)
🚀 듀얼 GPU(DataParallel) 모드를 활성화합니다!
🔥 모드 콜랩스 방지 코드 적용 완료! 16만 장 듀얼 GPU 집중 학습을 시작합니다...
Epoch [1/15] | Step [2730/10086] | Loss: 5.1174
Epoch [1/15] | Step [2740/10086] | Loss: 6.5359
Epoch [1/15] | Step [2750/10086] | Loss: 6.0315
Epoch [1/15] | Step [2760/10086] | Loss: 6.0550
Epoch [1/15] | Step [2770/10086] | Loss: 6.6810
Epoch [1/15] | Step [2780/10086] | Loss: 7.2881
Epoch [1/15] | Step [2790/10086] | Loss: 6.0506
Epoch [1/15] | Step [2800/10086] | Loss: 7.5246
Epoch [1/15] | Step [2810/10086] | Loss: 6.1740
Epoch [1/15] | Step [2820/10086] | Loss: 6.3096
Epoch [1/15] | Step [2830/10086] | Loss: 6.2758
Epoch [1/15] | Step [2840/10086] | Loss: 6.1078
Epoch [1/15] | Step [2850/10086] | Loss: 5.9120
Epoch [1/15] | Step [2860/10086] | Loss: 5.8630
Epoch [1/15] | Step [2870/10086] | Loss: 6.6436
Epoch [1/15] | Step [2880/10086] | Loss: 6.5882
Epoch [1/15] | Step [2890/10086] | Loss: 4.8264
Epoch [1/15] | Step [2900/10086] | Loss: 5.3293
Epoch [1/15] | Step [2910/10086] | Loss: 7.1719
Epoch [1/15] | Step [2920/10086] | Loss: 5.6558
Epoch [1/15] | Step [2930/10086] | Loss: 8.2145
Epoch [1/15] | Step [2940/10086] | Loss: 5.7909
Epoch [1/15] | Step [2950/10086] | Loss: 5.4256
Epoch [1/15] | Step [2960/10086] | Loss: 4.9354
Epoch [1/15] | Step [2970/10086] | Loss: 6.2608
Epoch [1/15] | Step [2980/10086] | Loss: 5.6275
Epoch [1/15] | Step [2990/10086] | Loss: 5.9185
Epoch [1/15] | Step [3000/10086] | Loss: 5.1435
Epoch [1/15] | Step [3010/10086] | Loss: 4.9797
Epoch [1/15] | Step [3020/10086] | Loss: 5.9248
Epoch [1/15] | Step [3030/10086] | Loss: 5.3188
Epoch [1/15] | Step [3040/10086] | Loss: 6.1878
Epoch [1/15] | Step [3050/10086] | Loss: 5.5166
Epoch [1/15] | Step [3060/10086] | Loss: 5.4006
Epoch [1/15] | Step [3070/10086] | Loss: 4.5703
Epoch [1/15] | Step [3080/10086] | Loss: 5.5929
Epoch [1/15] | Step [3090/10086] | Loss: 5.5567
Epoch [1/15] | Step [3100/10086] | Loss: 6.3883
Epoch [1/15] | Step [3110/10086] | Loss: 6.3020
Epoch [1/15] | Step [3120/10086] | Loss: 5.4345
Epoch [1/15] | Step [3130/10086] | Loss: 6.1863
Epoch [1/15] | Step [3140/10086] | Loss: 6.6960
Epoch [1/15] | Step [3150/10086] | Loss: 5.1233
